,teamID,yearID,G,W,L,R,RA,RD,Wpct,PWpct,residuals
2385,ANA,2002,162,99,63,851,644,207,0.6111111111111112,0.6358569437993498,-0.0247458326882386
2386,ARI,2002,162,98,64,819,674,145,0.6049382716049383,0.5962123912369104,0.008725880368027905
2387,ATL,2002,161,101,59,708,565,143,0.63125,0.6109332361555121,0.020316763844487884
2388,BAL,2002,162,67,95,667,773,-106,0.41358024691358025,0.4267856080766065,-0.01320536116302623
2389,BOS,2002,162,93,69,859,665,194,0.5740740740740741,0.6252667133291416,-0.05119263925506756
2390,CHA,2002,162,81,81,856,798,58,0.5,0.5350234385268047,-0.03502343852680467
2391,CHN,2002,162,67,95,706,759,-53,0.41358024691358025,0.4638698131346456,-0.05028956622106534
2392,CIN,2002,162,78,84,709,774,-65,0.48148148148148145,0.4562539652573117,0.025227516224169744
2393,CLE,2002,162,74,88,739,837,-98,0.4567901234567901,0.4380567743384482,0.018733349118341902
2394,COL,2002,162,73,89,778,898,-120,0.4506172839506173,0.4287661296263764,0.021851154324240896
2395,DET,2002,161,55,106,575,864,-289,0.3416149068322981,0.306952515084192,0.03466239174810609
2396,FLO,2002,162,79,83,699,763,-64,0.4876543209876543,0.45630807736488693,0.03134624362276739
2397,HOU,2002,162,84,78,749,695,54,0.5185185185185185,0.5373438975657694,-0.0188253790472509
2398,KCA,2002,162,62,100,737,891,-154,0.38271604938271603,0.40624434389140274,-0.02352829450868671
2399,LAN,2002,162,92,70,713,643,70,0.5679012345679012,0.551485217255467,0.01641601731243425
2400,MIL,2002,162,56,106,627,821,-194,0.345679012345679,0.3683846060140371,-0.022705593668358115
2401,MIN,2002,161,94,67,768,712,56,0.5838509316770186,0.5377837427787827,0.04606718889823591
2402,MON,2002,162,83,79,735,718,17,0.5123456790123457,0.5116983298113472,0.0006473492009985149
2403,NYA,2002,161,103,58,897,697,200,0.639751552795031,0.6235258652622638,0.016225687532767208
2404,NYN,2002,161,75,86,690,703,-13,0.4658385093167702,0.490668436549594,-0.024829927232823845
2405,OAK,2002,162,103,59,800,654,146,0.6358024691358025,0.5994103300877761,0.036392139048026406
2406,PHI,2002,161,80,81,710,724,-14,0.4968944099378882,0.4902380294784669,0.006656380459421296
2407,PIT,2002,161,72,89,641,730,-89,0.4472049689440994,0.4353562955812842,0.011848673362815199
2408,SDN,2002,162,66,96,662,815,-153,0.4074074074074074,0.39751140394877316,0.009896003458634228
2409,SEA,2002,162,93,69,814,699,115,0.5740740740740741,0.5755713400920954,-0.0014972660180213593
2410,SFN,2002,162,95,66,783,616,167,0.5900621118012422,0.617693908084772,-0.02763179628352974
2411,SLN,2002,162,97,65,787,648,139,0.5987654320987654,0.595963716944441,0.00280171515432448
2412,TBA,2002,161,55,106,673,918,-245,0.3416149068322981,0.34957585094157156,-0.007960944109273449
2413,TEX,2002,162,72,90,843,882,-39,0.4444444444444444,0.4774028549490015,-0.032958410504557056
2414,TOR,2002,162,78,84,813,828,-15,0.48148148148148145,0.49085999585608586,-0.009378514374604408
2415,ANA,2003,162,77,85,736,743,-7,0.47530864197530864,0.49526717836424394,-0.0199585363889353
2416,ARI,2003,162,84,78,717,685,32,0.5185185185185185,0.5228126519097663,-0.004294133391247845
2417,ATL,2003,162,101,61,907,740,167,0.6234567901234568,0.6003646052651744,0.02309218485828235
2418,BAL,2003,163,71,91,743,820,-77,0.4382716049382716,0.4508550376536712,-0.012583432715399578
2419,BOS,2003,162,95,67,961,809,152,0.5864197530864198,0.5852470402445624,0.0011727128418573818
2420,CHA,2003,162,86,76,791,715,76,0.5308641975308642,0.5503366153402304,-0.01947241780936615
2421,CHN,2003,162,88,74,724,683,41,0.5432098765432098,0.5291152912437606,0.014094585299449292
2422,CIN,2003,162,69,93,694,886,-192,0.42592592592592593,0.3802493541928516,0.04567657173307432
2423,CLE,2003,162,68,94,699,778,-79,0.41975308641975306,0.44666578296621673,-0.026912696546463666
2424,COL,2003,162,74,88,853,892,-39,0.4567901234567901,0.4776615879097181,-0.02087146445292798
2425,DET,2003,162,43,119,591,928,-337,0.2654320987654321,0.2885510940010657,-0.0231189952356336
2426,FLO,2003,162,91,71,751,692,59,0.5617283950617284,0.5408188020501216,0.020909593011606886
2427,HOU,2003,162,87,75,805,677,128,0.5370370370370371,0.5857302454729679,-0.048693208435930835
2428,KCA,2003,162,83,79,836,867,-31,0.5123456790123457,0.4818028588466033,0.030542820165742446
2429,LAN,2003,162,85,77,574,556,18,0.5246913580246914,0.5159251626965983,0.008766195328093085
2430,MIL,2003,162,68,94,714,873,-159,0.41975308641975306,0.400806651335574,0.018946435084179036
2431,MIN,2003,162,90,72,801,758,43,0.5555555555555556,0.5275608161721477,0.027994739383407907
2432,MON,2003,162,83,79,711,716,-5,0.5123456790123457,0.4964961887766076,0.015849490235738117
2433,NYA,2003,163,101,61,877,716,161,0.6234567901234568,0.6000452493983001,0.02341154072515672
2434,NYN,2003,161,66,95,642,754,-112,0.40993788819875776,0.4202838846514663,-0.010345996452708561
